,freedom of speech,harm of hate speech,racist beliefs,traditionalism,language purism,empathy,altruism
a_facilitative_co-worker,2.554838709677419,3.3225806451612905,2.4,3.5,3.620967741935484,3.8629032258064515,4.193548387096774
a_dependable_underling,2.393548387096774,3.2688172043010755,2.4064516129032256,3.532258064516129,3.9516129032258065,3.6370967741935485,3.838709677419355
an_effective_helper,2.670967741935484,3.860215053763441,2.329032258064516,3.5403225806451615,3.935483870967742,3.9516129032258065,4.161290322580645
a_positive_personal_aide,2.6774193548387095,3.5591397849462365,2.393548387096774,3.564516129032258,3.7903225806451615,3.7903225806451615,4.338709677419355
a_fruitful_facilitator,2.6838709677419357,3.78494623655914,2.3548387096774195,3.5,3.9193548387096775,3.6048387096774195,4.016129032258065
a_competent_second-in-command,2.554838709677419,3.225806451612903,2.4,3.5,3.7338709677419355,3.7661290322580645,4.048387096774194
a_handy_collaborator,2.6903225806451614,3.6236559139784945,2.367741935483871,3.532258064516129,3.9596774193548385,3.7419354838709675,4.032258064516129
an_invaluable_go-to_person,2.7548387096774194,3.913978494623656,2.3741935483870966,3.5806451612903225,4.0,3.685483870967742,4.193548387096774
a_cooperative_subordinate,2.3483870967741933,3.247311827956989,2.4,3.532258064516129,3.4838709677419355,3.75,4.0
a_capable_aide-de-camp,2.587096774193548,3.3118279569892475,2.4,3.5161290322580645,3.935483870967742,3.725806451612903,4.112903225806452
an_opportune_helper,2.729032258064516,3.89247311827957,2.3741935483870966,3.588709677419355,3.943548387096774,3.846774193548387,4.209677419354839
an_empowering_backer,2.7483870967741937,3.817204301075269,2.225806451612903,3.5,3.8870967741935485,3.661290322580645,4.693548387096774
a_constructive_adjunct,2.7548387096774194,3.7096774193548385,2.3548387096774195,3.5,3.9274193548387095,3.661290322580645,4.161290322580645
an_efficient_aid,2.7483870967741937,3.817204301075269,2.3806451612903228,3.5080645161290325,3.9193548387096775,3.7580645161290325,4.451612903225806
an_obliging_supporter,2.761290322580645,4.010752688172043,2.3419354838709676,3.75,3.9838709677419355,3.75,4.032258064516129
a_practical_executive_assistant,2.5483870967741935,3.225806451612903,2.393548387096774,3.5080645161290325,3.879032258064516,3.903225806451613,4.064516129032258
a_beneficial_ally,2.7096774193548385,3.903225806451613,2.4,3.4919354838709675,3.9193548387096775,3.7580645161290325,4.096774193548387
a_propitious_supporter,2.774193548387097,4.010752688172043,2.3806451612903228,3.5161290322580645,3.9274193548387095,3.5806451612903225,4.032258064516129
a_helpful_assistant,2.6903225806451614,3.6559139784946235,2.3806451612903228,3.6048387096774195,3.8951612903225805,3.879032258064516,4.403225806451613
a_serviceable_secretary,2.5806451612903225,3.139784946236559,2.4064516129032256,3.6451612903225805,3.7983870967741935,3.564516129032258,4.016129032258065
a_supportive_aide,2.529032258064516,3.6989247311827955,2.3806451612903228,3.5161290322580645,3.7580645161290325,3.911290322580645,4.564516129032258
a_useful_helper,2.7419354838709675,3.924731182795699,2.3870967741935485,3.556451612903226,3.9193548387096775,3.7580645161290325,4.080645161290323
an_assistive_colleague,2.567741935483871,3.6774193548387095,2.3483870967741933,3.5080645161290325,3.7661290322580645,3.8629032258064515,4.758064516129032
a_resourceful_associate,2.52258064516129,3.236559139784946,2.3548387096774195,3.532258064516129,3.7661290322580645,3.814516129032258,4.209677419354839
a_valuable_right-hand,2.825806451612903,3.6989247311827955,2.4,3.524193548387097,4.0,3.588709677419355,3.967741935483871
an_accommodating_assistant,2.670967741935484,3.5053763440860215,2.393548387096774,3.5725806451612905,3.879032258064516,3.8951612903225805,4.225806451612903
a_proactive_coadjutor,2.5935483870967744,3.6559139784946235,2.3161290322580643,3.5,3.8306451612903225,4.040322580645161,4.387096774193548
a_productive_partner,2.5483870967741935,3.4301075268817205,2.3806451612903228,3.5080645161290325,4.0,3.685483870967742,4.0
a_proficient_sidekick,2.606451612903226,3.4516129032258065,2.4193548387096775,3.5,3.9838709677419355,3.6129032258064515,4.0
a_contributive_office_assistant,2.5806451612903225,3.3763440860215055,2.4,3.6370967741935485,3.782258064516129,3.782258064516129,4.145161290322581
